LOCATION,NEIGHBORS
"Monterey, San Benito Counties CoC","['Santa Cruz County CoC', 'Santa Clara County CoC', 'Merced County CoC', 'Fresno, Madera Counties CoC', 'Kings, Tulare Counties CoC', 'San Luis Obispo County CoC']"
"Monterey, San Benito Counties CoC","['Santa Cruz County CoC', 'Santa Clara County CoC', 'Merced County CoC', 'Fresno, Madera Counties CoC', 'Kings, Tulare Counties CoC', 'San Luis Obispo County CoC']"
"Monterey, San Benito Counties CoC","['Santa Cruz County CoC', 'Santa Clara County CoC', 'Merced County CoC', 'Fresno, Madera Counties CoC', 'Kings, Tulare Counties CoC', 'San Luis Obispo County CoC']"
"Monterey, San Benito Counties CoC","['Santa Cruz County CoC', 'Santa Clara County CoC', 'Merced County CoC', 'Fresno, Madera Counties CoC', 'Kings, Tulare Counties CoC', 'San Luis Obispo County CoC']"
Marin County CoC,"['Sonoma County CoC', 'Contra Costa County CoC', 'San Francisco CoC']"
Marin County CoC,"['Sonoma County CoC', 'Contra Costa County CoC', 'San Francisco CoC']"
Marin County CoC,"['Sonoma County CoC', 'Contra Costa County CoC', 'San Francisco CoC']"
Marin County CoC,"['Sonoma County CoC', 'Contra Costa County CoC', 'San Francisco CoC']"
Marin County CoC,"['Sonoma County CoC', 'Contra Costa County CoC', 'San Francisco CoC']"
Marin County CoC,"['Sonoma County CoC', 'Contra Costa County CoC', 'San Francisco CoC']"
Marin County CoC,"['Sonoma County CoC', 'Contra Costa County CoC', 'San Francisco CoC']"
Santa Cruz County CoC,"['San Mateo County CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC']"
Santa Cruz County CoC,"['San Mateo County CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC']"
Santa Cruz County CoC,"['San Mateo County CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC']"
Santa Cruz County CoC,"['San Mateo County CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC']"
Santa Cruz County CoC,"['San Mateo County CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC']"
Santa Cruz County CoC,"['San Mateo County CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC']"
Santa Cruz County CoC,"['San Mateo County CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC']"
Santa Cruz County CoC,"['San Mateo County CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC']"
Mendocino County CoC,"['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Lake County CoC', 'Sonoma County CoC']"
Mendocino County CoC,"['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Lake County CoC', 'Sonoma County CoC']"
Mendocino County CoC,"['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Lake County CoC', 'Sonoma County CoC']"
Mendocino County CoC,"['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Lake County CoC', 'Sonoma County CoC']"
Mendocino County CoC,"['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Lake County CoC', 'Sonoma County CoC']"
Mendocino County CoC,"['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Lake County CoC', 'Sonoma County CoC']"
Mendocino County CoC,"['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Lake County CoC', 'Sonoma County CoC']"
Stanislaus County CoC,"['Santa Clara County CoC', 'San Joaquin County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Merced County CoC']"
Stanislaus County CoC,"['Santa Clara County CoC', 'San Joaquin County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Merced County CoC']"
Stanislaus County CoC,"['Santa Clara County CoC', 'San Joaquin County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Merced County CoC']"
Stanislaus County CoC,"['Santa Clara County CoC', 'San Joaquin County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Merced County CoC']"
Stanislaus County CoC,"['Santa Clara County CoC', 'San Joaquin County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Merced County CoC']"
Stanislaus County CoC,"['Santa Clara County CoC', 'San Joaquin County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Merced County CoC']"
Stanislaus County CoC,"['Santa Clara County CoC', 'San Joaquin County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Merced County CoC']"
San Joaquin County CoC,"['Alameda County CoC', 'Contra Costa County CoC', 'Sacramento County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Stanislaus County CoC', 'Santa Clara County CoC']"
San Joaquin County CoC,"['Alameda County CoC', 'Contra Costa County CoC', 'Sacramento County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Stanislaus County CoC', 'Santa Clara County CoC']"
San Joaquin County CoC,"['Alameda County CoC', 'Contra Costa County CoC', 'Sacramento County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Stanislaus County CoC', 'Santa Clara County CoC']"
San Joaquin County CoC,"['Alameda County CoC', 'Contra Costa County CoC', 'Sacramento County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Stanislaus County CoC', 'Santa Clara County CoC']"
San Joaquin County CoC,"['Alameda County CoC', 'Contra Costa County CoC', 'Sacramento County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Stanislaus County CoC', 'Santa Clara County CoC']"
San Joaquin County CoC,"['Alameda County CoC', 'Contra Costa County CoC', 'Sacramento County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Stanislaus County CoC', 'Santa Clara County CoC']"
San Joaquin County CoC,"['Alameda County CoC', 'Contra Costa County CoC', 'Sacramento County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Stanislaus County CoC', 'Santa Clara County CoC']"
San Mateo County CoC,"['San Francisco CoC', 'Alameda County CoC', 'Santa Clara County CoC', 'Santa Cruz County CoC']"
San Mateo County CoC,"['San Francisco CoC', 'Alameda County CoC', 'Santa Clara County CoC', 'Santa Cruz County CoC']"
San Mateo County CoC,"['San Francisco CoC', 'Alameda County CoC', 'Santa Clara County CoC', 'Santa Cruz County CoC']"
San Mateo County CoC,"['San Francisco CoC', 'Alameda County CoC', 'Santa Clara County CoC', 'Santa Cruz County CoC']"
San Mateo County CoC,"['San Francisco CoC', 'Alameda County CoC', 'Santa Clara County CoC', 'Santa Cruz County CoC']"
San Mateo County CoC,"['San Francisco CoC', 'Alameda County CoC', 'Santa Clara County CoC', 'Santa Cruz County CoC']"
San Mateo County CoC,"['San Francisco CoC', 'Alameda County CoC', 'Santa Clara County CoC', 'Santa Cruz County CoC']"
"Kings, Tulare Counties CoC","['Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kern County CoC']"
"Kings, Tulare Counties CoC","['Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kern County CoC']"
"Kings, Tulare Counties CoC","['Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kern County CoC']"
"Kings, Tulare Counties CoC","['Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kern County CoC']"
"Kings, Tulare Counties CoC","['Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kern County CoC']"
"Kings, Tulare Counties CoC","['Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kern County CoC']"
"Kings, Tulare Counties CoC","['Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kern County CoC']"
"Fresno, Madera Counties CoC","['Monterey, San Benito Counties CoC', 'Merced County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kings, Tulare Counties CoC']"
"Fresno, Madera Counties CoC","['Monterey, San Benito Counties CoC', 'Merced County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kings, Tulare Counties CoC']"
"Fresno, Madera Counties CoC","['Monterey, San Benito Counties CoC', 'Merced County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kings, Tulare Counties CoC']"
"Fresno, Madera Counties CoC","['Monterey, San Benito Counties CoC', 'Merced County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kings, Tulare Counties CoC']"
"Fresno, Madera Counties CoC","['Monterey, San Benito Counties CoC', 'Merced County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kings, Tulare Counties CoC']"
"Fresno, Madera Counties CoC","['Monterey, San Benito Counties CoC', 'Merced County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kings, Tulare Counties CoC']"
"Fresno, Madera Counties CoC","['Monterey, San Benito Counties CoC', 'Merced County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kings, Tulare Counties CoC']"
"Fresno, Madera Counties CoC","['Monterey, San Benito Counties CoC', 'Merced County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Alpine, Inyo, Mono Counties CoC', 'Kings, Tulare Counties CoC']"
Placer County CoC,"['Nevada County CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'El Dorado County CoC']"
Placer County CoC,"['Nevada County CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'El Dorado County CoC']"
Placer County CoC,"['Nevada County CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'El Dorado County CoC']"
Placer County CoC,"['Nevada County CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'El Dorado County CoC']"
Placer County CoC,"['Nevada County CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'El Dorado County CoC']"
Placer County CoC,"['Nevada County CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'El Dorado County CoC']"
Placer County CoC,"['Nevada County CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'El Dorado County CoC']"
Placer County CoC,"['Nevada County CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'El Dorado County CoC']"
"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Butte County CoC', 'Yuba, Sutter Counties CoC', 'Nevada County CoC']"
"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Butte County CoC', 'Yuba, Sutter Counties CoC', 'Nevada County CoC']"
"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Butte County CoC', 'Yuba, Sutter Counties CoC', 'Nevada County CoC']"
"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Butte County CoC', 'Yuba, Sutter Counties CoC', 'Nevada County CoC']"
"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Butte County CoC', 'Yuba, Sutter Counties CoC', 'Nevada County CoC']"
"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Butte County CoC', 'Yuba, Sutter Counties CoC', 'Nevada County CoC']"
"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Butte County CoC', 'Yuba, Sutter Counties CoC', 'Nevada County CoC']"
"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","['Humboldt County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Butte County CoC', 'Yuba, Sutter Counties CoC', 'Nevada County CoC']"
Napa County CoC,"['Sonoma County CoC', 'Lake County CoC', 'Yolo County CoC', 'Solano County CoC']"
Napa County CoC,"['Sonoma County CoC', 'Lake County CoC', 'Yolo County CoC', 'Solano County CoC']"
Napa County CoC,"['Sonoma County CoC', 'Lake County CoC', 'Yolo County CoC', 'Solano County CoC']"
Napa County CoC,"['Sonoma County CoC', 'Lake County CoC', 'Yolo County CoC', 'Solano County CoC']"
Napa County CoC,"['Sonoma County CoC', 'Lake County CoC', 'Yolo County CoC', 'Solano County CoC']"
Napa County CoC,"['Sonoma County CoC', 'Lake County CoC', 'Yolo County CoC', 'Solano County CoC']"
Napa County CoC,"['Sonoma County CoC', 'Lake County CoC', 'Yolo County CoC', 'Solano County CoC']"
Solano County CoC,"['Napa County CoC', 'Yolo County CoC', 'Sacramento County CoC', 'Contra Costa County CoC']"
Solano County CoC,"['Napa County CoC', 'Yolo County CoC', 'Sacramento County CoC', 'Contra Costa County CoC']"
Solano County CoC,"['Napa County CoC', 'Yolo County CoC', 'Sacramento County CoC', 'Contra Costa County CoC']"
Solano County CoC,"['Napa County CoC', 'Yolo County CoC', 'Sacramento County CoC', 'Contra Costa County CoC']"
Solano County CoC,"['Napa County CoC', 'Yolo County CoC', 'Sacramento County CoC', 'Contra Costa County CoC']"
Solano County CoC,"['Napa County CoC', 'Yolo County CoC', 'Sacramento County CoC', 'Contra Costa County CoC']"
Solano County CoC,"['Napa County CoC', 'Yolo County CoC', 'Sacramento County CoC', 'Contra Costa County CoC']"
Butte County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Yuba, Sutter Counties CoC']"
Butte County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Yuba, Sutter Counties CoC']"
Butte County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Yuba, Sutter Counties CoC']"
Butte County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Yuba, Sutter Counties CoC']"
Butte County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Yuba, Sutter Counties CoC']"
Butte County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Yuba, Sutter Counties CoC']"
Butte County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Tehama County CoC', 'Yuba, Sutter Counties CoC']"
Merced County CoC,"['Stanislaus County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC']"
Merced County CoC,"['Stanislaus County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC']"
Merced County CoC,"['Stanislaus County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC']"
Merced County CoC,"['Stanislaus County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC']"
Merced County CoC,"['Stanislaus County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC']"
Merced County CoC,"['Stanislaus County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC']"
Merced County CoC,"['Stanislaus County CoC', 'Amador, Calaveras, Mariposa, Tuolumne Counties CoC', 'Santa Clara County CoC', 'Monterey, San Benito Counties CoC', 'Fresno, Madera Counties CoC']"
Yolo County CoC,"['Lake County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'Solano County CoC', 'Napa County CoC']"
Yolo County CoC,"['Lake County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'Solano County CoC', 'Napa County CoC']"
Yolo County CoC,"['Lake County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'Solano County CoC', 'Napa County CoC']"
Yolo County CoC,"['Lake County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'Solano County CoC', 'Napa County CoC']"
Yolo County CoC,"['Lake County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'Solano County CoC', 'Napa County CoC']"
Yolo County CoC,"['Lake County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'Solano County CoC', 'Napa County CoC']"
Yolo County CoC,"['Lake County CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Yuba, Sutter Counties CoC', 'Sacramento County CoC', 'Solano County CoC', 'Napa County CoC']"
Humboldt County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Mendocino County CoC']"
Humboldt County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Mendocino County CoC']"
Humboldt County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Mendocino County CoC']"
Humboldt County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Mendocino County CoC']"
Humboldt County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Mendocino County CoC']"
Humboldt County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Mendocino County CoC']"
Humboldt County CoC,"['Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC', 'Colusa, Glenn, Trinity Counties CoC', 'Mendocino County CoC']"
